ID,ST,Freq,RelFreq,RelFreq2
1,place,4439,0.017748262,1.774826176
2,stay,4341,0.017356433,1.73564326
3,great,3801,0.015197374,1.519737394
4,room,3017,0.012062741,1.206274065
5,clean,2794,0.011171129,1.117112939
6,nice,2723,0.010887253,1.088725316
7,host,2525,0.010095598,1.009559832
8,apartment,2462,0.009843708,0.984370814
9,subway,1869,0.007472742,0.747274188
10,time,1841,0.007360791,0.73607907
11,really,1827,0.007304815,0.73048151
12,comfortable,1802,0.007204859,0.720485868
13,good,1695,0.006777045,0.677704521
14,recommend,1635,0.00653715,0.65371498
15,home,1595,0.00637722,0.637721953
16,everything,1501,0.006001383,0.60013834
17,definitely,1344,0.005373657,0.537365709
18,house,1299,0.005193736,0.519373553
19,neighborhood,1250,0.004997821,0.499782095
20,also,1235,0.004937847,0.49378471
