ID,ST,Freq,RelFreq,RelFreq2
1,apartment,8431,0.005215528,0.521552793
2,room,7114,0.004400814,0.440081434
3,brooklyn,6637,0.004105736,0.410573584
4,place,5784,0.003578059,0.357805878
5,bedroom,5774,0.003571873,0.357187265
6,manhattan,5274,0.003262566,0.326256604
7,restaurants,4413,0.00272994,0.272994007
8,train,4312,0.00266746,0.266746014
9,private,4214,0.002606836,0.260683605
10,park,4133,0.002556728,0.255672838
11,close,3962,0.002450946,0.245094552
12,kitchen,3694,0.002285157,0.228515718
13,subway,3679,0.002275878,0.227587798
14,bed,3674,0.002272785,0.227278492
15,located,3563,0.002204119,0.220411885
16,great,3510,0.002171332,0.217133235
17,walk,3287,0.002033382,0.203338161
18,neighborhood,3282,0.002030289,0.203028854
19,williamsburg,3258,0.002015442,0.201544182
20,away,3244,0.002006781,0.200678124
