ID,ST,Freq,RelFreq,RelFreq2
1,apartment,10982,0.020513529,2.051352937
2,bedroom,7032,0.013135234,1.313523388
3,room,6967,0.013013819,1.301381889
4,place,6943,0.012968989,1.296898874
5,park,6536,0.012208744,1.220874412
6,located,5085,0.009498388,0.949838798
7,restaurants,5026,0.009388181,0.938818053
8,subway,4921,0.009192049,0.919204863
9,central,4910,0.009171501,0.917150147
10,close,4828,0.009018332,0.90183318
11,kitchen,4701,0.008781106,0.878110559
12,bed,4659,0.008702653,0.870265282
13,square,4323,0.008075031,0.807503073
14,building,4030,0.007527729,0.752772932
15,walk,4000,0.007471692,0.747169163
16,great,3953,0.007383899,0.738389925
17,east,3937,0.007354012,0.735401249
18,new,3824,0.007142937,0.71429372
19,away,3804,0.007105579,0.710557874
20,one,3801,0.007099975,0.709997497
