ID,ST,Freq,RelFreq,RelFreq2
1,apartment,201081,0.059175775,5.917577513
2,great,196310,0.057771726,5.77717259
3,stay,147973,0.043546715,4.354671488
4,place,141526,0.041649439,4.164943854
5,location,116822,0.034379342,3.437934167
6,clean,98495,0.028985921,2.898592096
7,host,92503,0.027222546,2.722254578
8,nice,78981,0.02324318,2.324318009
9,room,70210,0.020661978,2.066197787
10,time,63197,0.018598134,1.859813439
11,really,63170,0.018590189,1.859018861
12,everything,63017,0.018545163,1.85451625
13,subway,62905,0.018512202,1.851220222
14,comfortable,62308,0.018336512,1.833651214
15,good,59230,0.017430693,1.743069291
16,recommend,58992,0.017360652,1.736065231
17,perfect,54993,0.016183794,1.618379361
18,nyc,51350,0.015111702,1.511170152
19,close,49512,0.0145708,1.457079972
20,easy,49290,0.014505468,1.450546773
