ID,ST,Freq,RelFreq,RelFreq2
1,ferry,141,0.022679749,2.267974908
2,manhattan,129,0.020749558,2.074955766
3,island,122,0.019623613,1.962361267
4,staten,115,0.018497668,1.849766769
5,room,93,0.014958983,1.495898343
6,private,91,0.014637285,1.463728486
7,free,79,0.012707093,1.270709345
8,apartment,77,0.012385395,1.238539488
9,place,77,0.012385395,1.238539488
10,house,71,0.011420299,1.142029918
11,close,64,0.010294354,1.029435419
12,bus,55,0.008846711,0.884671063
13,home,52,0.008364163,0.836416278
14,new,49,0.007881615,0.788161493
15,bedroom,48,0.007720766,0.772076564
16,located,45,0.007238218,0.723821779
17,min,44,0.007077369,0.707736851
18,kitchen,42,0.00675567,0.675566994
19,business,40,0.006433971,0.643397137
20,walk,40,0.006433971,0.643397137
,,,,
