ID,Manhattan,MnFreq,MnRelFreq,Bx,BxFreq,BxRelFreq,Queens,QnFreq,QnRelFreq,Brooklyn,BkFreq,BkRelFreq,StatenIsland,SiFreq,SiRelFreq
1,apartment,10982,2.051352937,place,301,1.994830671,place,1563,22.7,apartment,8431,0.521552793,ferry,141,2.267974908
2,bedroom,7032,1.313523388,bronx,252,1.670090795,room,1127,16.4,room,7114,0.440081434,manhattan,129,2.074955766
3,room,6967,1.301381889,room,229,1.517661873,manhattan,1089,15.8,brooklyn,6637,0.410573584,island,122,1.962361267
4,place,6943,1.296898874,manhattan,191,1.265822785,apartment,1067,15.5,place,5784,0.357805878,staten,115,1.849766769
5,park,6536,1.220874412,train,188,1.245940752,minutes,977,14.2,bedroom,5774,0.357187265,room,93,1.495898343
6,located,5085,0.949838798,apartment,185,1.226058718,close,892,13,manhattan,5274,0.326256604,private,91,1.463728486
7,restaurants,5026,0.938818053,close,158,1.047120419,bedroom,809,11.8,restaurants,4413,0.272994007,free,79,1.270709345
8,subway,4921,0.919204863,minutes,157,1.040493074,train,799,11.6,train,4312,0.266746014,apartment,77,1.238539488
9,central,4910,0.917150147,private,142,0.941082908,subway,778,11.3,private,4214,0.260683605,place,77,1.238539488
10,close,4828,0.90183318,bedroom,139,0.921200875,neighborhood,724,10.5,park,4133,0.255672838,house,71,1.142029918
11,kitchen,4701,0.878110559,subway,138,0.91457353,restaurants,660,9.6,close,3962,0.245094552,close,64,1.029435419
12,bed,4659,0.870265282,away,130,0.861554775,away,654,9.5,kitchen,3694,0.228515718,bus,55,0.884671063
