ID,ST,Freq,RelFreq,RelFreq2
1,place,301,0.019948307,1.994830671
2,bronx,252,0.016700908,1.670090795
3,room,229,0.015176619,1.517661873
4,manhattan,191,0.012658228,1.265822785
5,train,188,0.012459408,1.245940752
6,apartment,185,0.012260587,1.226058718
7,close,158,0.010471204,1.047120419
8,minutes,157,0.010404931,1.040493074
9,private,142,0.009410829,0.941082908
10,bedroom,139,0.009212009,0.921200875
11,subway,138,0.009145735,0.91457353
12,away,130,0.008615548,0.861554775
13,bed,124,0.008217907,0.821790708
14,home,113,0.007488899,0.74888992
15,good,112,0.007422626,0.742262575
16,neighborhood,112,0.007422626,0.742262575
17,located,110,0.007290079,0.729007887
18,kitchen,106,0.007024985,0.702498509
19,one,104,0.006892438,0.68924382
20,space,101,0.006693618,0.669361787
