ID,ST,Freq,RelFreq,RelFreq2
1,great,150833,0.052249366,5.224936616
2,stay,126643,0.043869819,4.386981946
3,apartment,124978,0.043293054,4.329305447
4,place,124636,0.043174584,4.317458382
5,clean,79086,0.027395818,2.739581771
6,nice,71715,0.024842463,2.484246348
7,host,65954,0.022846822,2.284682196
8,room,63803,0.022101704,2.210170393
9,subway,58890,0.020399814,2.039981419
10,really,58598,0.020298664,2.029866381
11,location,54870,0.019007264,1.900726447
12,comfortable,52498,0.018185591,1.818559085
13,brooklyn,51729,0.017919205,1.79192051
14,manhattan,49800,0.017250989,1.725098907
15,time,49124,0.017016819,1.701681902
16,recommend,48861,0.016925714,1.69257144
17,everything,46938,0.016259577,1.625957681
18,good,44698,0.015483629,1.548362871
19,easy,43016,0.014900975,1.490097482
20,neighborhood,41154,0.014255968,1.425596796
