ID,ST,Freq,RelFreq,RelFreq2
1,place,19998,0.018575765,1.857576512
2,stay,18321,0.017018031,1.701803144
3,great,18093,0.016806247,1.680624654
4,clean,14296,0.013279285,1.327928484
5,room,13152,0.012216645,1.221664481
6,nice,12400,0.011518126,1.151812619
7,apartment,11768,0.010931073,1.09310733
8,host,10976,0.010195399,1.019539944
9,subway,8311,0.007719931,0.771993119
10,comfortable,7652,0.007107799,0.710779851
11,good,7606,0.00706507,0.706506998
12,really,7543,0.00700655,0.700655047
13,time,7270,0.006752966,0.675296592
14,recommend,7116,0.006609918,0.660991822
15,everything,6904,0.006412995,0.641299542
16,location,6900,0.00640928,0.640927989
17,manhattan,6494,0.006032154,0.603215415
18,close,6372,0.005918831,0.591883065
19,house,6047,0.005616944,0.561694428
20,neighborhood,5800,0.005387511,0.538751064
