ID,ST,Freq,RelFreq,RelFreq2
1,stay,2159,0.043166187,4.316618682
2,ferry,2114,0.042266475,4.226647473
3,place,2011,0.040207134,4.020713372
4,great,1817,0.036328375,3.632837492
5,clean,1363,0.02725128,2.725127959
6,house,1354,0.027071337,2.707133717
7,nice,1344,0.026871401,2.687140115
8,room,1308,0.026151631,2.615163148
9,island,1114,0.022272873,2.227287268
10,manhattan,1107,0.022132917,2.213291747
11,host,1063,0.021253199,2.125319898
12,staten,1055,0.02109325,2.109325016
13,apartment,905,0.01809421,1.809420985
14,home,897,0.017934261,1.793426104
15,comfortable,868,0.017354447,1.735444658
16,recommend,866,0.017314459,1.731445937
17,time,861,0.017214491,1.721449136
18,really,855,0.01709453,1.709452975
19,everything,851,0.017014555,1.701455534
20,bus,792,0.015834933,1.583493282
