"","m$freq_words"
"1","’ll"
"2","access"
"3","across"
"4","adventurers"
"5","air"
"6","also"
"7","amazing"
"8","amenities"
"9","apartment"
"10","apt"
"11","area"
"12","around"
"13","art"
"14","available"
"15","ave"
"16","avenue"
"17","away"
"18","backyard"
"19","bars"
"20","bath"
"21","bathroom"
"22","beautiful"
"23","bed"
"24","bedroom"
"25","bedrooms"
"26","beds"
"27","best"
"28","big"
"29","block"
"30","blocks"
"31","brand"
"32","brick"
"33","bright"
"34","brooklyn"
"35","brownstone"
"36","building"
"37","bus"
"38","bushwick"
"39","business"
"40","cable"
"41","cafes"
"42","can"
"43","ceilings"
"44","center"
"45","central"
"46","charming"
"47","city"
"48","clean"
"49","close"
"50","closet"
"51","coffee"
"52","come"
"53","comfortable"
"54","comfy"
"55","convenient"
"56","conveniently"
"57","cool"
"58","corner"
"59","couch"
"60","couple"
"61","couples"
"62","cozy"
"63","day"
"64","dining"
"65","distance"
"66","district"
"67","doorman"
"68","downtown"
"69","east"
"70","easy"
"71","elevator"
"72","enjoy"
"73","equipped"
"74","etc"
"75","everything"
"76","experience"
"77","express"
"78","families"
"79","family"
"80","feel"
"81","floor"
"82","floors"
"83","food"
"84","free"
"85","friendly"
"86","full"
"87","fully"
"88","furnished"
"89","garden"
"90","get"
"91","good"
"92","great"
"93","grocery"
"94","guests"
"95","gym"
"96","harlem"
"97","heart"
"98","heights"
"99","high"
"100","historic"
"101","home"
"102","house"
"103","huge"
"104","just"
"105","kids"
"106","kitchen"
"107","large"
"108","laundry"
"109","light"
"110","like"
"111","line"
"112","lines"
"113","live"
"114","living"
"115","local"
"116","located"
"117","location"
"118","loft"
"119","looking"
"120","lots"
"121","love"
"122","lovely"
"123","lower"
"124","luxury"
"125","major"
"126","manhattan"
"127","many"
"128","mattress"
"129","midtown"
"130","min"
"131","mins"
"132","minute"
"133","minutes"
"134","modern"
"135","museum"
"136","natural"
"137","near"
"138","nearby"
"139","need"
"140","neighborhood"
"141","new"
"142","newly"
"143","next"
"144","nice"
"145","nyc"
"146","offer"
"147","one"
"148","open"
"149","park"
"150","parks"
"151","people"
"152","perfect"
"153","place"
"154","please"
"155","plenty"
"156","private"
"157","prospect"
"158","public"
"159","queen"
"160","quiet"
"161","renovated"
"162","restaurants"
"163","ride"
"164","right"
"165","river"
"166","roof"
"167","rooftop"
"168","room"
"169","safe"
"170","shared"
"171","shopping"
"172","shops"
"173","short"
"174","side"
"175","size"
"176","sized"
"177","small"
"178","sofa"
"179","soho"
"180","solo"
"181","space"
"182","spacious"
"183","square"
"184","station"
"185","stay"
"186","steps"
"187","stop"
"188","stops"
"189","stores"
"190","street"
"191","studio"
"192","subway"
"193","subways"
"194","sunny"
"195","super"
"196","three"
"197","time"
"198","times"
"199","tons"
"200","top"
"201","train"
"202","trains"
"203","transportation"
"204","travelers"
"205","two"
"206","union"
"207","upper"
"208","view"
"209","views"
"210","village"
"211","walk"
"212","walking"
"213","welcome"
"214","well"
"215","west"
"216","wifi"
"217","will"
"218","williamsburg"
"219","windows"
"220","within"
"221","york"
"222","youll"
