listing_id,reviewer_name,comments,word
8880999,Stéphanie,"We had a great time at Jasmin's place. The apartment is very clean, quiet and well located in Brushwick, a hipster neighbourhood in Brooklyn. We met Jasmin at the very end of our stay, a nice and welcoming guy. Would recommend it for sure!",hipster
15828883,Andrew,"Tim was great and his place is certainly on the ""rad"" side.  It's the epitome of NY living in the very hipster-sh area of Williamsburg. 

Clean, spacious and easy to get in and out.  If you're staying in Williamsburg and want to be close to some great places, this is your spot. ",hipster
15563361,Pendry & Zack,"This place is fantastic. It feels like coming home, or starting at a friend's place while they're out of town. 

The location is perfect, and somehow the apartment is quiet. Food and drink are super close; there's even an awesome hipster doughnut place right across the street. 

Easily my favorite airbnb ever. ",hipster
7744805,Luis,"A great value in a great location! This airbnb is conveniently located right around the block from the 125th St. subway stop in Harlem, so getting to and from midtown was only a quick 20 min ride. The neighborhood was a great pick for NY. It is located in a quieter residential street lined with beautiful historic brownstones while around the corner there are plenty of dining and shopping opportunities. It is also very close to the 2 & 3 subway so getting around the city was very convenient. 

Communicating with our hosts was a pinch, they were very easy to reach and more than happy to help us with any of our needs. When we arrived in NY I simply texted our host and she was awaiting us outside the front door of our airbnb for check-in. Overall, our hosts were very helpful, for example letting us check-in early and allowing us to have a package delivered to the apartment during our stay. And when we had a minor issue with the gas stove, they arrived within minutes of our text.

The apartment is spacious, clean and modern and was the perfect choice for my group of friends and I during our extended weekend stay in NY. The living room and kitchen are large for NY standards, and having your own garden/backyard during the stay was an extremely nice touch. However, one should be aware the second bathroom in the master bedroom is kind of awkward to use because it is literally a shower built right into the bedroom, separated only by a curtain. And with high shower curb and narrow shower space, I mostly ended up using the shower in the one shared bathroom in the apartment located off the living room.

The apartment came with a large living room, fully working kitchen, two bathrooms, wifi, a master bedroom with a queen sized bed, and second bedroom with a twin sized bed on the ground and a queen sized bunkbed located above it. The backyard and garden can be accessed through the master bedroom. 

To enter the master bedroom one must go through a door located in the second bedroom, so privacy could be better but I was staying with a group of close friends for a fun weekend so it was not an issue for my group. 

Overall our stay in the apartment was much more than I expected and any negatives were far outweighed by the positives of the place. In sum I would definitely recommend this apartment to anyone looking to stay in NY who is looking for a quieter neighborhood or a larger place with a garden and I hope to stay at this place in the future. ",historic
15247747,Wesley,Great place!! Located in historic Sugar Hill Harlem..beautiful high ceilings and hardwood floors ,historic
6422511,Judi,"Our family of 4 wanted a New York neighborhood experience when we visited NYC for a wedding.   We stayed at My Little Guest Apartment and it was just what we were looking for!   The location was great!   There was nearby street parking, it was easy to get to the #7 train, and it was enjoyable just to walk around the neighborhood and check out the temples, Chinatown and historical buildings.  The beds were comfortable, and there was just enough kitchen so that we could eat some meals there rather than eat out.  Linda and Robert were responsive to our questions and requests as we traveled and while we were there.  We all wished we could have stayed longer!",historic
13341955,Caroline,Jackson Heights is a perfect little city in Queens New York. It is one of the most diverse cities in the world and the perfect place to discover authentic food and culture. Diana's place is located close to the 7 train and is perfect for exploring throughout NYC. ,diverse
1074155,Siobhan,"Nancy was very lovely, and made us feel very welcome, however my friend and I decided to leave early to stay somewhere a bit closer to the action, as we found it a little bit too far away from everything, and we wanted a bit more space, as Nancy's accommodation is more suited to a single traveler.
The neighborhood was diverse and multicultural, with nice places to eat that were cheaper than what you would find closer to touristy attractions. Although I felt just slightly unsafe walking around on my own in the evenings. 
Nancy's accommodation would suit a single traveller who doesn't mind discussing the benefits of veganism. If you are not vegan or vegetarian you may have difficulty feeling completely at home, as no food is allowed to be brought into the house. 
Overall though, Nancy was very lovely and welcoming, and a stay with her would be fine if you were ok with the distance to major attractions and with the vegan household rules.",diverse
2853557,Maxwell,"Our stay was easy and convenient. Allison is flexible and accommodating, and we were able to come and go as we pleased. Very near a subway stop and located in an accessible, diverse neighborhood. Perfect for three guests on a tight weekend wedding schedule. Thanks, Allison!",diverse
4346952,Charlotte,"The cozy brownstone room is exactly what it says: a cozy (think: small, with just enough room for a bed and a dressoir) brownstone (in a residential area, with a Nostrand Ave with lots of stores only a few blocks away) room. The common rooms are really welcoming, and the kitchen looked very useable (I didn't use it during my stay). The bathroom is small as well, but the shower is a good one!",cozy
658294,Jill,We enjoyed staying at Tatiana's cozy flat in Chelsea.  She's a very accommodating and gracious hostess.  The apartment is small but has everything you need.  Sure beats staying at an hotel.  Also the neighborhood is a gem.,cozy
713538,Elizabeth,"Pros: Very cozy, incredibly charming garden unit with lots of original detail (built ins with antique wavy glass and stacks of old novels to read!)  It truly felt that you were staying in someone's home. I enjoyed the residential neighborhood. Clear instructions on how to get in and out. I did not need to contact the owners during my stay, but beforehand they responded very quickly. 
Comfy but firm bed, very dark and pretty quiet at night so easy to sleep in! Comfortable futon-sofa would probably make a great bed as well. Big spare cupboard with extra linens and towels was nice when I needed an extra quilt on the bed for warmth. 

Cons: Unit was very clean (walked around barefoot!) but the towels didn't feel super fresh (maybe in cupboard too long?) and pillows/shower curtain liner need replacing - while those are harsh critiques, they definitely weren't extremes or dirty in any way. Updating those small details would make this an A+. 
I will return. ",cozy
830490,Courtney,"Great place. Great location. Good size, especially for New York. Very communicative host. Easy key-pickup. Clean. Nice, modern amenities. Not much street noise.  ",modern
10568208,John,"Very comfortable,  convenient and secure.  New was welcoming and made a point to help me get my bearings geographically .  A quiet and modern apartment with a very comfortable bed and strong shower!

Thanks!",modern
8473571,Jule,"The location of the flat is very close to the time square, just a 5min. walk. Very comfortable and modern standard. Very clean and enough space for more than 4 people. A lot of markets and restaurants are located nearby. The host Olja was always available and very kindly. We really look forward to coming again.",modern
348753,Patrice,"Bill and Mitzi were great hosts. The space is huge, affordable and in a perfect location for enjoying both Brooklyn and Manhattan. The room and shared bathroom were very clean. I definitely recommend this space!",affordable
16288338,Joanne,"If you're looking for an affordable, quiet and clean place to stay, Eunice's top-floor apartment is great. It's located in a quiet Brooklyn neighbourhood just a block away from a really good French restaurant, and very close to the subway where you can catch a train to Manhattan and enjoy downtown New York without paying downtown prices. ",affordable
11712318,Ellie,"Marcos place was a great, and affordable place for Manhattan. Subway is close, and an awesome market right around the corner when we wanted to stay in.",affordable
815045,An,This apartment was a dream!! Staying here felt like such a luxury in NY. The location is great--close to many great restaurants and bars in Greenwich. The bed is so comfortable and the view from the apartment is great.,luxury
39704,Sandra,"The apartment is impeccably clean, and host Renee is very kind and totally lay-back. I have a whole floor by myself in a charming brown stone building. I don't even have this kind of luxury when I lived in NYC. I definitely recommend Renee's apartment. ",luxury
