"","d$freq_words"
"1","able"
"2","absolutely"
"3","access"
"4","accommodating"
"5","air"
"6","airbnb"
"7","also"
"8","although"
"9","always"
"10","amazing"
"11","amenities"
"12","anyone"
"13","anything"
"14","apartment"
"15","appartement"
"16","appartment"
"17","appreciated"
"18","apt"
"19","area"
"20","around"
"21","arrival"
"22","arrived"
"23","automated"
"24","available"
"25","avec"
"26","avons"
"27","away"
"28","awesome"
"29","back"
"30","bars"
"31","bathroom"
"32","beautiful"
"33","bed"
"34","bedroom"
"35","beds"
"36","best"
"37","better"
"38","bien"
"39","big"
"40","bit"
"41","block"
"42","blocks"
"43","book"
"44","breakfast"
"45","brooklyn"
"46","building"
"47","bus"
"48","came"
"49","can"
"50","canceled"
"51","cant"
"52","casa"
"53","central"
"54","check"
"55","checkin"
"56","city"
"57","clean"
"58","close"
"59","coffee"
"60","come"
"61","comfortable"
"62","comfy"
"63","coming"
"64","communication"
"65","con"
"66","contact"
"67","convenient"
"68","cool"
"69","corner"
"70","cosy"
"71","couldnt"
"72","couple"
"73","cozy"
"74","cute"
"75","dans"
"76","day"
"77","days"
"78","decorated"
"79","definitely"
"80","der"
"81","des"
"82","described"
"83","description"
"84","didnt"
"85","die"
"86","distance"
"87","dont"
"88","door"
"89","downtown"
"90","early"
"91","easily"
"92","east"
"93","easy"
"94","eat"
"95","enjoy"
"96","enjoyed"
"97","enough"
"98","equipped"
"99","especially"
"100","est"
"101","etc"
"102","even"
"103","ever"
"104","every"
"105","everything"
"106","exactly"
"107","excellent"
"108","expected"
"109","experience"
"110","explore"
"111","extremely"
"112","family"
"113","fantastic"
"114","far"
"115","feel"
"116","felt"
"117","find"
"118","fine"
"119","first"
"120","flat"
"121","flexible"
"122","flight"
"123","floor"
"124","food"
"125","found"
"126","friend"
"127","friendly"
"128","friends"
"129","full"
"130","fun"
"131","gave"
"132","get"
"133","getting"
"134","going"
"135","good"
"136","got"
"137","great"
"138","grocery"
"139","guests"
"140","happy"
"141","help"
"142","helped"
"143","helpful"
"144","highly"
"145","home"
"146","hope"
"147","host"
"148","hosts"
"149","hot"
"150","hotel"
"151","house"
"152","however"
"153","huge"
"154","information"
"155","ist"
"156","just"
"157","key"
"158","keys"
"159","kind"
"160","kitchen"
"161","know"
"162","lappartement"
"163","large"
"164","last"
"165","late"
"166","leave"
"167","left"
"168","les"
"169","let"
"170","light"
"171","like"
"172","line"
"173","lines"
"174","listing"
"175","little"
"176","living"
"177","local"
"178","located"
"179","location"
"180","loft"
"181","long"
"182","looking"
"183","lot"
"184","lots"
"185","love"
"186","loved"
"187","lovely"
"188","luggage"
"189","made"
"190","make"
"191","making"
"192","manhattan"
"193","many"
"194","meet"
"195","met"
"196","metro"
"197","métro"
"198","min"
"199","minute"
"200","minutes"
"201","morning"
"202","much"
"203","muy"
"204","near"
"205","nearby"
"206","need"
"207","needed"
"208","needs"
"209","neighborhood"
"210","neighbourhood"
"211","never"
"212","new"
"213","next"
"214","nice"
"215","night"
"216","nights"
"217","noise"
"218","nos"
"219","notre"
"220","nous"
"221","nyc"
"222","one"
"223","open"
"224","outside"
"225","overall"
"226","para"
"227","park"
"228","parking"
"229","part"
"230","pas"
"231","people"
"232","perfect"
"233","perfectly"
"234","person"
"235","photos"
"236","pictures"
"237","place"
"238","places"
"239","pleasant"
"240","plenty"
"241","plus"
"242","posting"
"243","pour"
"244","pretty"
"245","price"
"246","privacy"
"247","private"
"248","problem"
"249","provided"
"250","public"
"251","quartier"
"252","que"
"253","questions"
"254","qui"
"255","quick"
"256","quickly"
"257","quiet"
"258","quite"
"259","really"
"260","recommend"
"261","recommendations"
"262","recommended"
"263","reservation"
"264","responsive"
"265","restaurants"
"266","return"
"267","right"
"268","room"
"269","rooms"
"270","safe"
"271","say"
"272","see"
"273","sehr"
"274","séjour"
"275","several"
"276","shops"
"277","short"
"278","shower"
"279","side"
"280","since"
"281","sleep"
"282","small"
"283","son"
"284","space"
"285","spacious"
"286","spent"
"287","spot"
"288","square"
"289","station"
"290","stations"
"291","stay"
"292","stayed"
"293","staying"
"294","still"
"295","stop"
"296","stores"
"297","street"
"298","studio"
"299","subway"
"300","super"
"301","sure"
"302","take"
"303","thank"
"304","thanks"
"305","theres"
"306","thing"
"307","things"
"308","though"
"309","three"
"310","tidy"
"311","time"
"312","times"
"313","tips"
"314","todo"
"315","took"
"316","tout"
"317","towels"
"318","town"
"319","train"
"320","transportation"
"321","très"
"322","trip"
"323","two"
"324","una"
"325","und"
"326","une"
"327","use"
"328","used"
"329","view"
"330","village"
"331","visit"
"332","visiting"
"333","walk"
"334","walking"
"335","want"
"336","wanted"
"337","war"
"338","warm"
"339","wasnt"
"340","water"
"341","way"
"342","week"
"343","weekend"
"344","welcome"
"345","welcomed"
"346","welcoming"
"347","well"
"348","went"
"349","whole"
"350","wifi"
"351","will"
"352","williamsburg"
"353","wir"
"354","within"
"355","without"
"356","wonderful"
"357","work"
"358","worked"
"359","york"
"360","youre"
