"","word","freq"
"1","’ll",1495
"2","’re",17
"3","’ve",8
"4","“bedstuy”",2
"5","”---lifetime",2
"6","<U+0434><U+0435><U+043B><U+043E><U+0432><U+044B><U+0435>",2
"7","<U+0434><U+043B><U+044F>",5
"8","<U+0436><U+0438><U+043B><U+044C><U+0435>",5
"9","<U+043C><U+0435><U+0442><U+0440><U+043E>",2
"10","<U+043C><U+043E><U+0435>",5
"11","<U+043F><U+0430><U+0440><U+044B>",3
"12","<U+043F><U+043E><U+0434><U+0445><U+043E><U+0434><U+0438><U+0442>",4
"13","<U+043F><U+0443><U+0442><U+0435><U+0448><U+0435><U+0441><U+0442><U+0432><U+0435><U+043D><U+043D><U+0438><U+043A><U+0438>",2
"14","<U+0440><U+044F><U+0434><U+043E><U+043C>",4
"15","<U+0441><U+043E><U+043B><U+043E><U+043F><U+0443><U+0442><U+0435><U+0448><U+0435><U+0441><U+0442><U+0432><U+0435><U+043D><U+043D><U+0438><U+043A><U+0438>",4
"16","<U+0445><U+043E><U+0434><U+044C><U+0431><U+044B>",2
"17","<U+044D><U+0442><U+043E><U+0433><U+043E>",4
"18","<U+2605><U+2605><U+2605><U+2605><U+2605><U+2605>",7
"19","<U+6700><U+5BC4><U+308A><U+306E><U+30B9><U+30DD><U+30C3><U+30C8><U+306F>prospect",2
