"","word","freq"
"1","–––",2
"2","–—o………",2
"3","’ll",1727
"4","’re",10
"5","’ve",6
"6","<U+0430><U+0442><U+043C><U+043E><U+0441><U+0444><U+0435><U+0440><U+043D><U+043E><U+0441><U+0442><U+044C>",2
"7","<U+0432><U+0430><U+043C>",3
"8","<U+0432><U+0435><U+0434><U+044C>",3
"9","<U+0434><U+0435><U+043B><U+043E><U+0432><U+044B><U+0435>",4
"10","<U+0434><U+0435><U+0442><U+044C><U+043C><U+0438>",3
"11","<U+0434><U+043B><U+044F>",5
"12","<U+0435><U+0441><U+0442><U+044C>",4
"13","<U+0436><U+0438><U+043B><U+044C><U+0435>",8
"14","<U+0436><U+0438><U+043B><U+044C><U+0435><U+043C>",5
"15","<U+043C><U+043E><U+0435>",5
"16","<U+043C><U+043E><U+0435><U+043C>",3
"17","<U+043C><U+043E><U+0438><U+043C>",5
"18","<U+043F><U+0430><U+0440><U+044B>",5
"19","<U+043F><U+043E><U+0434><U+0445><U+043E><U+0434><U+0438><U+0442>",5
"20","<U+043F><U+043E><U+043D><U+0440><U+0430><U+0432><U+0438><U+0442><U+0441><U+044F>",3
"21","<U+043F><U+0443><U+0442><U+0435><U+0448><U+0435><U+0441><U+0442><U+0432><U+0435><U+043D><U+043D><U+0438><U+043A><U+0438>",3
"22","<U+0440><U+044F><U+0434><U+043E><U+043C>",6
"23","<U+0441><U+0435><U+043C><U+044C><U+0438>",3
"24","<U+0441><U+043E><U+043B><U+043E><U+043F><U+0443><U+0442><U+0435><U+0448><U+0435><U+0441><U+0442><U+0432><U+0435><U+043D><U+043D><U+0438><U+043A><U+0438>",4
"25","<U+044D><U+0442><U+043E><U+0433><U+043E>",4
"26","<U+2605><U+2605>brand",2
"27","<U+2605>free<U+2605>",11
"28","<U+2605>safe<U+2605>",11
"29","<U+5F88><U+6709><U+6C14><U+573A><U+7684>studio<U+9AD8><U+5C1A><U+7F8E><U+4E3D><U+8212><U+670D><U+5B8C><U+5584><U+7684><U+8BBE><U+5907>",3
"30","<U+6211><U+7684><U+623F><U+6E90><U+9760><U+8FD1>central",2
"31","<U+7535><U+8BDD>phone",2
"32","<U+AC00><U+B2A5><U+D569><U+B2C8><U+B2E4>",3
"33","<U+ADFC><U+CC98><U+C5D0>",4
"34","<U+AE68><U+B057><U+D558><U+AC8C>",2
"35","<U+B098><U+D640><U+B85C>",3
"36","<U+C548><U+B77D><U+D568>",3
"37","<U+C5EC><U+D589><U+C871>",2
"38","<U+C6D0><U+D558><U+C2DC><U+BA74>",2
"39","<U+C704><U+CE58><U+D55C>",2
"40","<U+C785><U+B2C8><U+B2E4>",3
"41","<U+C788><U+C2B5><U+B2C8><U+B2E4>",8
"42","<U+C7A5><U+C810><U+C740>",4
"43","<U+C801><U+D569><U+D569><U+B2C8><U+B2E4>",5
"44","<U+CD9C><U+C7A5><U+C790><U+C5D0>",3
"45","<U+D3B8><U+B9AC><U+D55C>",2
"46","<U+D3B8><U+C548><U+D55C>",2
"47","<U+D658><U+C601><U+D569><U+B2C8><U+B2E4>",2
"48","……––……",2
"49","•brand",2
"50","aaaaaa",2
"51","abc",41
"52","abcd",229
"53","abcdef",2
"54","abcdefm",5
"55","ability",6
"56","abingdon",2
"57","able",59
"58","abode",14
"59","abound",9
"60","abounds",2
"61","abroad",4
"62","absolute",51
"63","absolutely",63
"64","abt",2
"65","abundance",26
"66","abundant",25
"67","abv",4
"68","abyssinia",4
"69","abyssinian",16
"70","academy",3
"71","acb",7
"72","acbd",42
"73","accent",4
"74","accents",13
"75","accept",21
"76","accepted",7
"77","accepting",8
"78","acces",3
"79","access",2096
"80","accessed",14
"81","accessibility",23
"82","accessible",184
"83","accessing",3
"84","accessories",4
"85","acclaimed",3
"86","accommodate",168
"87","accommodated",7
"88","accommodates",81
"89","accommodating",11
"90","accommodation",32
"91","accommodations",53
"92","accomodate",8
"93","accomodates",7
"94","accomodations",2
"95","accompanied",5
"96","accompany",2
"97","accompanying",3
"98","accordance",3
"99","accordingly",5
"100","account",6
"101","accurate",6
"102","acd",4
"103","acdb",17
"104","ace",192
"105","acebd",5
"106","acebdf",5
"107","acebdfm",17
"108","acebdfml",3
"109","acebdfmnqr",2
"110","acefm",3
"111","acejz",3
"112","acel",13
"113","acelfm",3
"114","acenqr",7
"115","acerjz",3
"116","acess",6
"117","acesso",2
"118","acheat",13
"119","acheater",2
"120","acheating",3
"121","acjzr",4
"122","acogedor",9
"123","acquainted",4
"124","acre",3
"125","acres",2
"126","across",516
"127","acs",10
"128","action",82
"129","activated",2
"130","active",29
"131","activities",36
"132","activity",7
"133","actor",7
"134","actors",5
"135","acts",2
"136","actual",16
"137","actually",25
"138","adam",3
"139","adatto",2
"140","adbc",4
"141","add",18
"142","added",34
"143","addicts",2
"144","adding",7
"145","addition",46
"146","additional",149
"147","additionally",10
"148","addl",2
"149","address",11
"150","adds",10
"151","addtl",6
"152","adjacent",68
"153","adjoined",2
"154","adjoining",4
"155","adjust",2
"156","adjustable",9
"157","adjusted",2
"158","admire",2
"159","admiring",2
"160","admission",4
"161","adorable",66
"162","adore",5
"163","adorned",3
"164","adult",20
"165","adults",72
"166","advance",19
